,accuracy,prec_weighted,rec_weighted,f1_weighted,auc_roc_weighted,f1_macro,auc_roc_macro,logloss,mcc,kappa,cv_score_mean,cv_score_std
LogisticRegression,0.8464206874802901,0.7996784098922173,0.8464206874802901,0.8087317686666123,0.8153571498170306,0.3949694287884011,0.7821745022450793,0.40167892968679475,0.2411114892462112,0.19879125564754663,0.8172996428623511,0.0013067281988388651
RandomForestClassifier,0.8490026805424157,0.8043517481680268,0.8490026805424157,0.801393036699108,0.8181475981206865,0.37419200086185594,0.7830113493965669,0.39739905758009647,0.21876725155931695,0.15199715184785356,0.8195625445180479,0.0007894696464391305
GradientBoostingClassifier,0.8488450015767897,0.8042750032604559,0.8488450015767897,0.8111598814271522,0.8219530070440835,0.39852852126358035,0.7849933665847438,0.39454695615908897,0.2543173838772738,0.20821530700831348,0.822625300138114,0.0004492683362552975
